minute_utc,n_trades,buy_size,sell_size,net_signed,mid_close,pct_of_window_volume
17:05,5,1777,29,1748,,0.04
17:06,39,24559,6708,17851,0.085,0.64
17:07,44,8712,21130,-12418,0.09,0.61
17:08,60,72100,193363,-121263,0.095,5.45
17:09,51,15713,120174,-104461,0.125,2.79
17:10,36,17713,4328,13385,0.095,0.45
17:11,37,3542,106376,-102834,0.095,2.26
17:12,39,28374,4578,23796,0.085,0.68
17:13,36,15983,6991,8992,0.085,0.47
17:14,30,8269,5464,2805,0.085,0.28
